epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22635.2,1.00369,9.66446,0.69324,0.84085,1.36331,0.93789,0.9115,0.96716,0.75957,0.55307,0.27933,0.20117,0.04393,0.89258,7.07445,0.57198,0.56579,1.27188,0.00333042,0.00333042,0.00333042
2,38855.7,0.89178,7.22269,0.64366,0.63193,1.25876,0.93256,0.89242,0.95834,0.76031,0.737,0.46388,0.45288,0.19109,0.90972,5.2343,0.43058,0.58181,1.28902,0.00659778,0.00659778,0.00659778
